Comment Date,Comment,Published To
08/22/2024,"The fries were horrible and we were told they had recently changed them and had gotten nothing but complaints about them, the Mac and cheese looked old, the chicken pot pie was super runny and tasted like just rosemary.",None
08/22/2024,"You will never find a more dedicated employee than Amanda. She is kind, courteous and knows how to treat customers. We always try to be seated in her area.",None
08/21/2024,Great service from Jen!!,None
08/21/2024,Love both the staff here and the food. We are regulars and are always warmly welcomed and well fed with Amazing food and generous portions.  Highly highly recommended!,None
08/21/2024,"Good food,good service,friendly atmosphere.",None
08/21/2024,I love your Salmon and veggies. Service is good,None
08/20/2024,"My burger was excellently prepared.  I wish more chips would have been provided.

I was sitting at the bar opposite a door into the kitchen.  Toward the end of my visit there was a heavy cigarette smell.  I don't know if it was coming from the kitchen, but that seemed to be the most likely place.",None
08/19/2024,Our server was fantastic! And the food tasted great!,None
08/18/2024,love going there,None
08/18/2024,I tried the seafood pasta for the first time - magnificent!,None
08/18/2024,"Excellent food,  good value.",None
08/17/2024,"It’s been a while since we ate at Crosstown grille, I’d forgotten how good it is. Always a great burger and friendly staff.",None
08/17/2024,Food was very good and cooked perfectly.  The service was friendly and professional.,None
08/17/2024,I had the fried chicken Sandwich special and it was absolutely delicious.  Service was super friendly. Great atmosphere,None
08/16/2024,We enjoy the atmosphere and the friendly service.  The food has always been excellent.,None
08/15/2024,"Staff, food and ambience were all above par.  It’s an enjoyable place to spend time.",None
08/15/2024,Friendly atmosphere and friendly waiters.,None
08/15/2024,"Kyleigh is a Fantabulous server!
Always has a smile on her face and is is quick to address our needs/wants.",None
08/15/2024,Servers are always friendly and remember what we drink.,None
08/14/2024,"we love Jennofer, she always takes great care of us at the bar! Also the Reuban Spring Rolls are to die for",None
08/14/2024,Good and service were great as always!,None
08/14/2024,The servers are always very friendly and personable. Food is delicious and always like that we can find healthy options…we’ll keep coming back!,None
08/13/2024,Very pleasant atmosphere. Staff was friendly and went above and beyond. We will be back,None
08/13/2024,"Jennifer as always was Terrific!
She’s an asset to Maguire’s!",None
08/13/2024,"Server kristen was friendly, attentive and saw that we had everything we needed. Mel did an awesome job on our drinks. Love coming to Crosstown!",None
08/12/2024,It was our first time eating here.. It was absolutely amazing!! The atmosphere.. the service.. the food was all absolutely the best!! We will definitely be back!!,None
08/12/2024,"Friendly & timely service, good food quality",None
08/12/2024,"Staff and service are very good, relaxing atmosphere and friendly. Occasional out of a favorite meal item (sweet potato fries).
Appreciate service discount when making cash payment.",None
08/12/2024,"From your hostess to your server/bartender, we had excellent service and a very welcoming attitude.  Our food came out hot and as we ordered it.",None
08/12/2024,"First visit.  Very nice, quaint, not noisy, very pleasant.  I will be back.",None
08/12/2024,The food is always. Excellent. Service is always great. I truly enjoy their margarita salad and their salmon dinner. It’s always cooked too the way I expect to be.,None
08/11/2024,"I wish the cabbage was boiled and the corned beef not quite so salty.  I don't know how my mother got around the salt in the beef but she did and it was a better tasting piece of meat..
We had a young man by the name of Devon, I believe, and he was delightful and a credit to your establishment.
Thank You for a pleasant evening.
Michele Kapugi",None
08/11/2024,Food was DELICIOUS!,None
08/11/2024,My husband ordered a donut burger and after he ordered he changed his mind about what he wanted. The manager had no problem changing the order for him and we greatly appreciate her service. Thank you!,None
08/10/2024,Good,None
08/10/2024,Server and food was outstanding,None
08/09/2024,"The lamb pops were outstanding. Cooked perfectly! I ordered a Cobb salad with steak and it too was fabulous. Much better than I expected. High quality, super fresh ingredients. Just love it all!",None
08/09/2024,The food was excellent as usual,None
08/09/2024,The total all around experience was super fantastic.,None
08/09/2024,Great service and very friendly staff. Love to hang out here.,None
08/08/2024,Everything,None
08/07/2024,"I had a salad that I’ve eaten before. It was good and a great size. I was seated as soon as I walked in, which was nice. I’ve always enjoyed the atmosphere. While prices have gone up, I felt my meal had a decent value/price.",None
08/07/2024,Steak tips were excellent.,None
08/07/2024,The new menu is great!,None
08/06/2024,My husband ordered cabbage with his dinner and it was very overcooked.,None
08/06/2024,"Kelly the bartender, the decor and bourbon selection",None
08/05/2024,The meatloaf slices seemed smaller.,None
08/04/2024,Food and service was good no complaints,None
08/04/2024,In time for Sunday brunch…husband enjoyed eggs and hash.  I had smash burger and chips.  Jen our server was great!  Would ask for her again ??,None
08/04/2024,"Love the vibe, my wife and I love this place.",None
08/03/2024,"Food was great. We had a new server who didn’t seem to know the menu. When I’ve been there before with a new waitress, there was an experienced one alongside. That works better.",None
08/03/2024,"Maguire’s has the authenticity of an old Irish pub  
The menu offers excellent choices for the dining experience.",None
08/01/2024,Love everything about the place. I have no complaints.,None
07/31/2024,"My husband and I sat at one of the booth and there were three other couples in their 60s or 70s eating lunch yesterday at around 2 o’clock when we were there. there was a mother that came in with what appeared to be her mother and two little boys about 2 1/2 and five sitting at another one of the booths. those two little boys especially the younger one were little demons. they yelled at the top of their lungs through our entire meal and the younger one was actually standing on the table at one point and jumping up and down on the seats of the booth most of the rest of the time. all of the other couples were getting really irate and I did talk to our server but he couldn’t say anything. my problem with this is nothing was said to the mother and grandmother with the two extremely unruly behaved boys because it might hurt her feelings or you might lose a customer. By Not saying anything you ruined a nice quiet meal for four other couples who may not come back because nobody would tell the lady to discipline her children or ask her to leave. I know this is quite the conundrum, but my husband and I were looking forward to a nice relaxing meal out and we couldn’t get out of that restaurant fast enough.. it was everything but relaxing, it was extremely stressful.",None
07/30/2024,The food was fabulous and our server was friendly and efficient. We thoroughly enjoyed our evening out.,None
07/30/2024,Mel is always great behind the bar!! Food is always fab!!,None
07/29/2024,"Our waitress, Barbara, was great.  Prompt, courteous service. 
Only improvement is the broccoli.  I always have to ask for it “cooked”, b/c they always serve it al dente so it’s practically raw.",None
07/29/2024,Food and drinks,None
07/29/2024,N/A,None
07/28/2024,"Always a good meal and Jen (bartender) is the best! 
We enjoy the atmosphere and food, every visit. ??",None
07/28/2024,We always enjoy dining at Maguire’s,None
07/28/2024,Your coffee is great but it could be a little hotter.,None
07/28/2024,"Kylie, our server, was personable and attentive, making certain we were aware of when we would receive our order.  Great addition to the staff of my favorite eatery!  Always feel comfortable and welcome!",None
07/28/2024,"Only improvement might be paper towels in the ladies rest room.
We definitely consider Maguire’s “our” place??",None
07/28/2024,Food and service were great as usual!,None
07/28/2024,The spinach dip is my all time favorite. I often order it as my meal.,None
07/27/2024,Waitress was FANTASTIC!,None
07/27/2024,Matthew was our waiter and he (and the young man shadowing him) were both wonderful.  It appears there has been a lot of staff changes and I must say…your restaurant has greatly improved.,None
07/27/2024,"Everything was near perfect, thank you",None
07/27/2024,"The specials!  Love having creative things to try.  You know they’re going g to be good, because everything is fresh + delicious!",None
07/27/2024,Seats were available at the bar. And the beer we requested was in stock.,None
07/27/2024,"The food was fresh, delicious, and served fast. The server was friendly. The restaurant was clean and inviting.",None
07/27/2024,One of the best parts of our visit to McGuires is always Jen the bartender!,None
07/26/2024,"Salmon bites, green beans, burger, fries all enjoyed on beer night on the cool side of the restaurant with our group.  Had Matt & new guy, Tommy!  Excellent",None
07/25/2024,The new menus items look and sound great. I had the pub seafood pasta with shrimp and salmon and it was delicious.,None
07/25/2024,Food was great. But wait to see server was unacceptable.,None
07/25/2024,"We always have a good experience at the pub. Last night our waitress was Sydney and she was great - very pleasant and wonderful service. We loved everything we ordered, as usual. Thank you for being our favorite go-to restaurant and special place we always bring visitors.",None
07/24/2024,Nothing at all! Truly an amazing experience and great environment!!,None
07/24/2024,"First of all, the menu is new, with lower prices and some refinements. All good, and the food is much improved over our last visit.",None
07/23/2024,The last few times I’ve ordered Acotch eggs the egg whites are rubbery and the yolks powdery. Please go back to your original recipe.,None
07/23/2024,"Great food, service, and atmosphere. Always love coming especially with the affordable kids menu. Wish some of the main entre prices weren't so high but do understand that economic costs have gone up on everything so we don't eat out as much.",None
07/21/2024,The food and service were excellent!!  Thank you!!,None
07/21/2024,Love the cozy atmosphere. Staff was all so nice and out food was wonderful!,None
07/20/2024,The food was amazing,None
07/20/2024,Great atmosphere. Caring staff and always consistent and amazing food!!,None
07/20/2024,Staff was not trained well. Sandwich too greasy,None
07/19/2024,"Great atmosphere, excellent service and consistantly good food.",None
07/19/2024,Service was great as always,None
07/19/2024,"We always love the ambience of the Irish Pub atmosphere. The menu has a variety of delicious options, and new menu items have just been recently added. Wednesdays is half price glasses of wine. I highly recommend the Bacon Bourbon Chicken. It is a delicious blend of flavors that will have you coming back for more!",None
07/17/2024,Everything was good.,None
07/17/2024,rented Cork room and had great service and food. Staff was friendly & responsive.,None
07/16/2024,"The service was great, as always, and the food and drinks were also great and appropriately spaced.  One of our favorite places to go.",None
07/15/2024,Staff courtesy and friendliness.,None
07/14/2024,Our server was very nice and attentive. The food was great. We had a wonderful time. There is nothing I would change from my visit.,None
07/14/2024,New menu items were great!!!,None
07/14/2024,"The food and service was amazing, as always. The only thing was the bar carbination wasnt working so my soda was flat. But overall, still a 10/10.",None
07/14/2024,Good tasting food and a good sized portion.,None
07/14/2024,A turkey bacon or turkey sausage option would be a good idea to add to the brunch menu.,None
07/13/2024,"We enjoy dining at McGuires.  The menu provides numerous selections to choose from. The French Onion Soup is a favorite choice, simply delicious!  We have never been disappointed with our meal or the service.",None
07/13/2024,The staff was great! Very friendly.,None
07/13/2024,All good,None
07/13/2024,Liked our server and hostess. Liked fish and chips and monte cristo. Sweet potato fries were undercooked. Would love a side that is half-and-half combo of different fries or onion straws. Strawberry jam with monte cristo was weirdly carbonated and had flavor of a daiquiri.,None
07/13/2024,"Good food, great service, and a pint of Guinness. A nice way to spend a Friday afternoon.",None
07/12/2024,"I always love the food,  but the service is unmatched. Gavin was our waiter back in December and February and he was phenomenal them.  Today, we were seated in his section. As he started taking our order, he remembered us AND the things we ordered from our previous visits...down to the drinks!  He is amazing!",None
07/12/2024,I enjoyed my lamb chops and my husband enjoyed his donut burger. We loved the brownie sundae!,None
07/12/2024,Our server was fantastic very helpful. Great attitude.,None
07/12/2024,Service is great and love the food,None
07/12/2024,Wonderful experience,None
07/12/2024,Friendly and efficient employees serving great food and drink.,None
07/11/2024,Lunch time was very busy. Crowd of 20 came in but the servers did a great job keeping us informed of back log in kitchen. Nothing major. Great service and enjoyed the new menu.,None
07/11/2024,Had meatloaf and it was very good. Very good service considering we were part of 20* people.,None
07/11/2024,"Tried the Brisket Philly, and it was good. Service was great as always.",None
07/11/2024,The friendliness of the staff,None
07/10/2024,More options,None
07/09/2024,Jen is awesome at the bar.,None
07/09/2024,New items,None
07/09/2024,The friendliness of the staff and great food.,None
07/08/2024,"Kyleigh is a Fantabulous server!
She's so sweet and very observant to our needs!
Atmosphere is good. 
Food is good.",None
07/08/2024,"Friendly, easy, great food!",None
07/07/2024,Steak and Ginness Pie had no crust so it was a Stew. Wimpy flavor and over cooked steak rocks. Tiny portion like an appetizer.Try the fish and chips or meat loaf. Peach cobbler and bread pudding are fantastic.,None
07/07/2024,"Large portions, perfectly prepared, easy to share although a $2 charge for an extra plate is ridiculous.  Staff is efficient and friendly",None
07/04/2024,Brooke and Jennifer were great!  We have been coming to Maguire’s for years. We enjoy our visits and the food is always exceptional!!,None
07/02/2024,Staffs are friendly and helpful and the burger is AMAZINGGGGGG,None
07/02/2024,"Great food and beer selection, thanks!",None
07/02/2024,Jennifer was great..,None
07/01/2024,Both the service and food were excellent! Nothing comes to mind that needs improvement,None
06/30/2024,"Exceptional service, as always. The Salmon Bites were a perfect addition to the Margarita Salad—thanks, Rob, for the recommendation. 

I’d love to see more bright, fresh Basil added to the Caprese Salad, and the option to up the Heat on the Margarita salad (maybe with a spicy salsa verde?).",None
06/30/2024,One of our favorite spots in town. Service is always great and food is delicious. The only suggestion I have would be more specials available like different appetizers and small bites,None
06/30/2024,Great staff.  Wonderful food.  Warm welcome.  Fair prices.,None
06/30/2024,Brussel sprouts tasted like horseredish?,None
06/30/2024,Kelly was amazing. She took very good care of us. New food was awesome too.,None
06/29/2024,Waitress was very friendly and helpful. All staff was friendly. A place I will take out of town friends.,None
06/29/2024,"Everything , nothing",None
06/29/2024,The salmon bites were a nice addition to your menu.,None
06/29/2024,Greeted when I arrived and had great service during time there with food tasting very good.,None
06/28/2024,"Atmosphere is great, service by Devin was excellent, the food was very satisfying!",None
06/27/2024,Delicious new menu. Loved the blackened shrimp pasta.,None
06/27/2024,Rob and crew have their sct together and run a great restaurant,None
06/26/2024,The service was excellent and the food was excellent!,None
06/26/2024,James B is an excellent server!,None
06/26/2024,We had a fabulous experience on our impromptu date night!  Our sever was fabulous and the food was delicious.,None
06/25/2024,"I ordered the Caprese salad and asked the server if they were really fresh tomatoes and he said yes. The tomatoes were hard, unripe and flavorless.. I was extremely disappointed in the Caprese salad due to the tomatoes. The cheese was excellent. I did tell the server and he went back to the kitchen and they offered me another appetizer but by that point I’d eaten half of it so I just finished it.",None
